ElementId,ElementTypeNumeric,ElementTypeName,DotNetTypeName,HasSolidPrimitive,HasCurveVector,HasGraphics,ChildCount_GetChildren,ChildCount_ChildElemIter,HasRange,Notes
6214168,2,2,,False,False,False,-1,3,True,
6214172,2,2,,False,False,False,-1,3,True,
6214176,2,2,,False,False,False,-1,7,True,
6214185,106,106,,False,False,False,-1,0,True,
6214186,2,2,,False,False,False,-1,6,True,
6214229,2,2,,False,False,False,-1,97,True,
6214741,2,2,,False,False,False,-1,97,True,
6215253,106,106,,False,False,False,-1,0,True,
6215254,106,106,,False,False,False,-1,0,True,
6215255,106,106,,False,False,False,-1,0,True,
6215256,106,106,,False,False,False,-1,0,True,
6215257,2,2,,False,False,False,-1,4,True,
6215434,106,106,,False,False,False,-1,0,True,
6215653,106,106,,False,False,False,-1,0,True,
6215858,106,106,,False,False,False,-1,0,True,
6216077,106,106,,False,False,False,-1,0,True,
6216078,2,2,,False,False,False,-1,4,True,
6216112,106,106,,False,False,False,-1,0,True,
6216113,106,106,,False,False,False,-1,0,True,
6216150,19,19,,True,False,False,-1,6,True,
6216157,2,2,,False,False,False,-1,3,True,
6216161,2,2,,False,False,False,-1,3,True,
6216165,2,2,,False,False,False,-1,7,True,
6216176,106,106,,False,False,False,-1,0,True,
6216177,2,2,,False,False,False,-1,6,True,
6216220,2,2,,False,False,False,-1,97,True,
6216732,2,2,,False,False,False,-1,97,True,
6217390,106,106,,False,False,False,-1,0,True,
6217609,106,106,,False,False,False,-1,0,True,
6217814,106,106,,False,False,False,-1,0,True,
6218033,106,106,,False,False,False,-1,0,True,
6218034,2,2,,False,False,False,-1,4,True,
6218065,106,106,,False,False,False,-1,0,True,
6218066,106,106,,False,False,False,-1,0,True,
6218067,106,106,,False,False,False,-1,0,True,
6218068,106,106,,False,False,False,-1,0,True,
6218069,2,2,,False,False,False,-1,4,True,
6218100,106,106,,False,False,False,-1,0,True,
6218102,106,106,,False,False,False,-1,0,True,
6227520,19,19,,True,False,False,-1,6,True,
6227527,19,19,,True,False,False,-1,6,True,
6227534,19,19,,True,False,False,-1,6,True,
6227541,19,19,,True,False,False,-1,6,True,
6227548,19,19,,True,False,False,-1,6,True,
6227555,19,19,,True,False,False,-1,6,True,
6228312,35,35,,False,False,False,-1,0,True,
6228313,35,35,,False,False,False,-1,0,True,
6228314,35,35,,False,False,False,-1,0,True,
6228315,35,35,,False,False,False,-1,0,True,
6228316,35,35,,False,False,False,-1,0,True,
6228317,35,35,,False,False,False,-1,0,True,
6228318,35,35,,False,False,False,-1,0,True,
6228319,35,35,,False,False,False,-1,0,True,
6228320,35,35,,False,False,False,-1,0,True,
6228321,35,35,,False,False,False,-1,0,True,
6228322,35,35,,False,False,False,-1,0,True,
6228323,35,35,,False,False,False,-1,0,True,
6228324,35,35,,False,False,False,-1,0,True,
6228325,35,35,,False,False,False,-1,0,True,
6228326,35,35,,False,False,False,-1,0,True,
6228327,35,35,,False,False,False,-1,0,True,
6228328,35,35,,False,False,False,-1,0,True,
6228329,35,35,,False,False,False,-1,0,True,
6228330,35,35,,False,False,False,-1,0,True,
6228331,35,35,,False,False,False,-1,0,True,
6228332,35,35,,False,False,False,-1,0,True,
6228333,35,35,,False,False,False,-1,0,True,
6228334,35,35,,False,False,False,-1,0,True,
6228335,35,35,,False,False,False,-1,0,True,
6228336,35,35,,False,False,False,-1,0,True,
6228337,35,35,,False,False,False,-1,0,True,
6228338,35,35,,False,False,False,-1,0,True,
6228339,35,35,,False,False,False,-1,0,True,
6228340,35,35,,False,False,False,-1,0,True,
6228341,35,35,,False,False,False,-1,0,True,
6228342,35,35,,False,False,False,-1,0,True,
6228343,35,35,,False,False,False,-1,0,True,
6228344,35,35,,False,False,False,-1,0,True,
6228345,35,35,,False,False,False,-1,0,True,
6228346,35,35,,False,False,False,-1,0,True,
6228347,35,35,,False,False,False,-1,0,True,
6228348,35,35,,False,False,False,-1,0,True,
6228349,35,35,,False,False,False,-1,0,True,
6228350,35,35,,False,False,False,-1,0,True,
6228351,35,35,,False,False,False,-1,0,True,
6228352,35,35,,False,False,False,-1,0,True,
6228353,35,35,,False,False,False,-1,0,True,
6228354,35,35,,False,False,False,-1,0,True,
6228355,35,35,,False,False,False,-1,0,True,
6228356,35,35,,False,False,False,-1,0,True,
6228357,35,35,,False,False,False,-1,0,True,
6228358,35,35,,False,False,False,-1,0,True,
6228359,35,35,,False,False,False,-1,0,True,
